prepare_img_data : 2020-06-11 15:13:46,607 : INFO : Prediction sequence length: 30, Min. img size: 50x300
prepare_img_data : 2020-06-11 15:13:46,607 : WARNING : Make sure the sequence length fits architecture of model
properties : 2020-06-11 15:16:01,602 : DEBUG : setting property sizePolicy
properties : 2020-06-11 15:16:01,602 : DEBUG : setting property autoFillBackground
properties : 2020-06-11 15:16:01,602 : DEBUG : setting property text
uiparser : 2020-06-11 15:16:01,602 : DEBUG : push QPushButton btn_loadVideo
uiparser : 2020-06-11 15:16:01,602 : DEBUG : pop widget QPushButton btn_loadVideo
uiparser : 2020-06-11 15:16:01,602 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7efefa8e70d8>
properties : 2020-06-11 15:16:01,603 : DEBUG : setting property sizePolicy
uiparser : 2020-06-11 15:16:01,603 : DEBUG : push QLineEdit lineEdit_path
uiparser : 2020-06-11 15:16:01,603 : DEBUG : pop widget QLineEdit lineEdit_path
uiparser : 2020-06-11 15:16:01,603 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7efefa8e70d8>
properties : 2020-06-11 15:16:01,603 : DEBUG : setting property enabled
properties : 2020-06-11 15:16:01,603 : DEBUG : setting property text
uiparser : 2020-06-11 15:16:01,603 : DEBUG : push QPushButton btn_run
uiparser : 2020-06-11 15:16:01,603 : DEBUG : pop widget QPushButton btn_run
uiparser : 2020-06-11 15:16:01,603 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7efefa8e70d8>
properties : 2020-06-11 15:16:01,603 : DEBUG : setting property text
uiparser : 2020-06-11 15:16:01,604 : DEBUG : push QLabel text_model
uiparser : 2020-06-11 15:16:01,604 : DEBUG : pop widget QLabel text_model
uiparser : 2020-06-11 15:16:01,604 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7efefa8e70d8>
properties : 2020-06-11 15:16:01,604 : DEBUG : setting property enabled
properties : 2020-06-11 15:16:01,604 : DEBUG : setting property text
uiparser : 2020-06-11 15:16:01,604 : DEBUG : push QPushButton btn_results
uiparser : 2020-06-11 15:16:01,604 : DEBUG : pop widget QPushButton btn_results
uiparser : 2020-06-11 15:16:01,604 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7efefa8e70d8>
properties : 2020-06-11 15:16:01,604 : DEBUG : setting property spacing
properties : 2020-06-11 15:16:01,604 : DEBUG : setting property pyuicSpacing
uiparser : 2020-06-11 15:16:01,604 : DEBUG : push QVBoxLayout vertical_radios
properties : 2020-06-11 15:16:01,604 : DEBUG : setting property enabled
properties : 2020-06-11 15:16:01,604 : DEBUG : setting property text
uiparser : 2020-06-11 15:16:01,605 : DEBUG : push QRadioButton radio_Bayesian
uiparser : 2020-06-11 15:16:01,605 : DEBUG : pop widget QRadioButton radio_Bayesian
uiparser : 2020-06-11 15:16:01,605 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7efefa8e70d8>
properties : 2020-06-11 15:16:01,605 : DEBUG : setting property enabled
properties : 2020-06-11 15:16:01,605 : DEBUG : setting property text
uiparser : 2020-06-11 15:16:01,605 : DEBUG : push QRadioButton radio_LSTM
uiparser : 2020-06-11 15:16:01,605 : DEBUG : pop widget QRadioButton radio_LSTM
uiparser : 2020-06-11 15:16:01,605 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7efefa8e70d8>
properties : 2020-06-11 15:16:01,605 : DEBUG : setting property enabled
properties : 2020-06-11 15:16:01,605 : DEBUG : setting property text
uiparser : 2020-06-11 15:16:01,605 : DEBUG : push QRadioButton radio_ConvLSTM
uiparser : 2020-06-11 15:16:01,605 : DEBUG : pop widget QRadioButton radio_ConvLSTM
uiparser : 2020-06-11 15:16:01,605 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7efefa8e70d8>
uiparser : 2020-06-11 15:16:01,605 : DEBUG : pop layout QVBoxLayout vertical_radios
uiparser : 2020-06-11 15:16:01,606 : DEBUG : pop layout QGridLayout vertical_selection
uiparser : 2020-06-11 15:16:01,606 : DEBUG : pop widget QWidget gridLayoutWidget
uiparser : 2020-06-11 15:16:01,606 : DEBUG : new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x7efefa8db4c8>
uiparser : 2020-06-11 15:16:01,606 : DEBUG : pop widget QGroupBox groupBoxSelections
uiparser : 2020-06-11 15:16:01,606 : DEBUG : new topwidget <PyQt5.QtWidgets.QWidget object at 0x7efefa8cd828>
properties : 2020-06-11 15:16:01,606 : DEBUG : setting property geometry
uiparser : 2020-06-11 15:16:01,606 : DEBUG : push QWidget horizontalLayoutWidget
properties : 2020-06-11 15:16:01,606 : DEBUG : setting property spacing
properties : 2020-06-11 15:16:01,606 : DEBUG : setting property sizeConstraint
properties : 2020-06-11 15:16:01,606 : DEBUG : setting property pyuicMargins
properties : 2020-06-11 15:16:01,606 : DEBUG : setting property pyuicSpacing
uiparser : 2020-06-11 15:16:01,606 : DEBUG : push QHBoxLayout horizontallayout_mediaControl
properties : 2020-06-11 15:16:01,606 : DEBUG : setting property text
uiparser : 2020-06-11 15:16:01,606 : DEBUG : push QPushButton btn_play
uiparser : 2020-06-11 15:16:01,607 : DEBUG : pop widget QPushButton btn_play
